ID,Name,Alias,Capital,Population,Area,Median Household Income,tallest mountain,Highest Point,Neighboring States
1,Washington,WA,Olympia,"7,705,281","71,362 sq mi","$70,979",Mount Rainier,"14,411 ft (4,392 m)",4
2,South Carolina,SC,Columbia,"5,148,714","32,020 sq mi","$56,227",Sassafras Mountain,"3,560 ft (1,085 m)",4
